anchor,cluster,following_word,count
ben,ben çiğnenen,çiğnenen,1
ben,ben gerekse,gerekse,1
biz,biz yaklaşık,yaklaşık,1
biz,biz çekileceğiz,çekileceğiz,1
biz,biz çalışmalarımıza,çalışmalarımıza,1
biz,biz ilk,ilk,1
biz,biz hiçbir,hiçbir,1
devlet,devlet katkısından,katkısından,1
devlet,devlet adamı,adamı,1
devlet,devlet adamına,adamına,1
millet,millet ittifakı,ittifakı,3
türk,türk milletinin,milletinin,6
türk,türk milliyetçisi,milliyetçisi,3
türk,türk milliyetçilerini,milliyetçilerini,2
türk,türk milliyetçilerinin,milliyetçilerinin,2
türk,türk devletleri,devletleri,2
türk,türk milliyetçiliğini,milliyetçiliğini,1
türk,türk siyasetini,siyasetini,1
türk,türk şairi,şairi,1
türk,türk hak,hak,1
türk,türk siyaseti,siyaseti,1
türk,türk seçmen,seçmen,1
türk,türk siyasetinden,siyasetinden,1
türk,türk siyasetinde,siyasetinde,1
türk,türk siyasetinin,siyasetinin,1
türk,türk savunma,savunma,1
türk,türk dünyası,dünyası,1
türk,türk milletine,milletine,1
türkiye,türkiye cumhuriyeti,cumhuriyeti,3
türkiye,türkiye ittifakı,ittifakı,1
türkiye,türkiye sinan,sinan,1
türkiye,türkiye güçlü,güçlü,1
türkiye,türkiye mevcut,mevcut,1
türkiye,türkiye kritik,kritik,1
türkiye,türkiye bulunan,bulunan,1
