trigram,count
vekil sayısı yüz,2
ulaşma günüdür bugün,2
günüdür bugün rahmetli,2
bay bay kemal,2
arif nihat asya,2
yoğrulan yurdu müslümansız,2
yurdu müslümansız bırakma,2
müslümansız bırakma allah,2
biz türkiyeyi seviyoruz,1
türkiyeyi seviyoruz türkiye,1
seviyoruz türkiye millet,1
türkiye millet sevilmez,1
millet sevilmez biz,1
sevilmez biz severiz,1
biz severiz kandildekiler,1
severiz kandildekiler sevmez,1
kandildekiler sevmez onların,1
sevmez onların uzantıları,1
onların uzantıları sevmez,1
uzantıları sevmez biz,1
