anchor,cluster,following_word,count
ben,ben emine,emine,1
ben,ben kente,kente,1
ben,ben terör,terör,1
ben,ben diyor,diyor,1
ben,ben çalışacağım,çalışacağım,1
ben,ben köyde,köyde,1
biz,biz gerçekten,gerçekten,1
biz,biz kazanıyoruz,kazanıyoruz,1
biz,biz su,su,1
biz,biz üretmiyoruz,üretmiyoruz,1
biz,biz yeniden,yeniden,1
biz,biz yönetmeliklere,yönetmeliklere,1
biz,biz bakın,bakın,1
biz,biz teröre,teröre,1
biz,biz cumhuriyet,cumhuriyet,1
biz,biz bölücü,bölücü,1
biz,biz pazar,pazar,1
biz,biz iki,iki,1
biz,biz yeni,yeni,1
biz,biz başka,başka,1
biz,biz kendi,kendi,1
biz,biz yaptık,yaptık,1
biz,biz onlardan,onlardan,1
biz,biz geçmişi,geçmişi,1
biz,biz aklımızla,aklımızla,1
biz,biz değil,değil,1
biz,biz kırsalda,kırsalda,1
biz,biz sabırla,sabırla,1
