trigram,count
faiz sebep enflasyon,2
sebep enflasyon sonuç,2
aziz türk milleti,1
türk milleti sevgili,1
milleti sevgili vatandaşlarım,1
sevgili vatandaşlarım cumhurbaşkanlığı,1
vatandaşlarım cumhurbaşkanlığı milletvekilliği,1
cumhurbaşkanlığı milletvekilliği seçimlerinde,1
milletvekilliği seçimlerinde ata,1
seçimlerinde ata ittifakı,1
ata ittifakı cumhurbaşkanı,1
ittifakı cumhurbaşkanı adayı,1
cumhurbaşkanı adayı trt,1
adayı trt ekranlarında,1
trt ekranlarında ikinci,1
ekranlarında ikinci kez,1
ikinci kez huzurlarınızdayım,1
kez huzurlarınızdayım hepinizi,1
huzurlarınızdayım hepinizi saygıyla,1
hepinizi saygıyla sevgiyle,1
