trigram,count
ittifakı adayı sayın,3
değerli basın mensupları,2
sayın genel başkanlarına,2
genel başkanlarına parti,2
başkanlarına parti yöneticilerine,2
ilk günden beri,2
türk milliyetçisi aday,2
küçümseyen onları tesadüfi,2
onları tesadüfi oylar,2
tesadüfi oylar gören,2
oylar gören bize,2
gören bize değil,2
hak bağıran sesi,2
ittifakı türk milletinin,2
türk devletleri teşkilatı,2
cumhur ittifakı adayı,2
adayı sayın recep,2
sayın recep tayyip,2
recep tayyip erdoğan,2
kararı açıklamak kürsüde,1
