trigram,count
söz konusu değil,3
annelerin ayakları altındadır,3
elini kolunu sallaya,2
kolunu sallaya sallaya,2
bay bay kemal,2
milli eğitim bakanlığı,2
eğitim bakanlığı kitabındaki,2
bakanlığı kitabındaki şiiri,2
kitabındaki şiiri okudum,2
okudum beni içeri,2
beni içeri aldılar,2
allah rahmet etsin,2
dolup dolup taşıyor,2
cumhurbaşkanlığı senfoni orkestrası,2
biz göreve geldiğimizde,2
yedi buçuk saatti,2
değer yargılarımız içerisinde,2
akşam yalan sabah,2
yalan sabah yalan,2
hak hukuk adalet,2
